Fecha;Consecutivo;Balota1;Balota2;Balota3;Balota4;Balota5;Super Balota
14/09/2019;253;1;19;31;37;39;11
18/09/2019;254;18;23;28;33;35;12
21/09/2019;255;21;23;26;37;43;11
25/09/2019;256;4;11;14;16;36;15
28/09/2019;257;1;9;27;29;35;13
2/10/2019;258;3;10;20;30;39;11
5/10/2019;259;19;23;26;30;36;11
9/10/2019;260;4;9;10;35;40;11
12/10/2019;261;2;8;9;12;39;13
16/10/2019;262;5;13;14;26;31;15
19/10/2019;263;4;8;19;20;35;9
23/10/2019;264;12;19;20;29;43;1
26/10/2019;265;2;11;24;28;39;3
30/10/2019;266;3;10;16;25;41;8
2/11/2019;267;2;3;4;12;16;10
6/11/2019;268;7;16;19;20;37;2
9/11/2019;269;2;10;16;23;25;11
13/11/2019;270;8;11;13;18;27;12
16/11/2019;271;3;7;23;30;35;5
20/11/2019;272;2;14;16;17;31;2
23/11/2019;273;17;18;20;27;29;11
27/11/2019;274;11;19;29;36;40;7
30/11/2019;275;2;3;18;21;36;13
4/12/2019;276;10;15;16;29;39;16
7/12/2019;277;12;15;16;38;39;10
11/12/2019;278;4;13;24;39;41;1
14/12/2019;279;11;21;33;39;43;8
18/12/2019;280;8;19;22;25;38;2
21/12/2019;281;8;14;17;23;37;13
25/12/2019;282;21;30;35;36;41;2
28/12/2019;283;2;9;17;27;42;11
1/01/2020;284;24;26;35;36;41;9
4/01/2020;285;4;9;15;24;29;7
6/01/2020;286;6;29;37;39;43;13
8/01/2020;287;10;11;15;28;35;11
11/01/2020;288;1;4;29;32;33;2
15/01/2020;289;16;28;37;42;43;9
18/01/2020;290;2;8;9;25;33;12
22/01/2020;291;1;7;10;25;27;2
25/01/2020;292;12;22;30;31;34;7
29/01/2020;293;17;21;32;36;37;3
1/02/2020;294;1;18;19;34;40;2
5/02/2020;295;6;14;25;29;42;13
8/02/2020;296;4;12;15;33;42;3
12/02/2020;297;10;15;20;32;41;14
15/02/2020;298;5;8;10;13;20;8
19/02/2020;299;1;14;18;22;43;6
22/02/2020;300;19;20;24;34;43;5
26/02/2020;301;5;8;12;17;43;9
29/02/2020;302;5;23;26;32;38;11
4/03/2020;303;4;9;14;31;34;15
7/03/2020;304;1;4;8;11;36;9
11/03/2020;305;8;19;25;36;38;6
14/03/2020;306;11;20;21;38;40;9
18/03/2020;307;2;3;4;5;29;12
21/03/2020;308;4;9;20;35;43;5
29/04/2020;309;5;24;27;32;35;15
2/05/2020;310;8;11;15;35;40;14
6/05/2020;311;9;17;28;31;40;2
9/05/2020;312;24;30;37;38;40;7
13/05/2020;313;6;10;14;22;39;14
16/05/2020;314;16;18;26;37;42;2
20/05/2020;315;3;7;12;13;40;13
23/05/2020;316;2;11;26;32;41;5
27/05/2020;317;4;8;18;25;29;7
30/05/2020;318;1;7;14;35;43;12
3/06/2020;319;9;12;23;33;36;7
6/06/2020;320;2;7;9;12;34;16
10/06/2020;321;7;14;16;18;36;11
13/06/2020;322;13;25;30;36;41;7
17/06/2020;323;1;3;8;28;41;15
20/06/2020;324;5;14;28;31;39;10
24/06/2020;325;5;29;33;34;39;9
27/06/2020;326;8;12;16;21;27;16
1/07/2020;327;1;8;14;23;40;11
4/07/2020;328;3;30;32;38;41;6
8/07/2020;329;22;34;36;37;43;12
11/07/2020;330;10;13;22;26;42;5
15/07/2020;331;4;5;13;16;41;2
18/07/2020;332;5;6;7;28;32;16
22/07/2020;333;2;22;24;27;37;6
25/07/2020;334;5;12;25;26;43;7
29/07/2020;335;2;8;14;19;28;7
1/08/2020;336;7;24;29;30;38;5
5/08/2020;337;18;24;28;36;40;5
8/08/2020;338;4;11;22;25;26;8
12/08/2020;339;1;13;24;27;39;16
15/08/2020;340;13;29;30;40;42;10
19/08/2020;341;2;7;14;25;31;10
22/08/2020;342;7;18;23;31;36;14
26/08/2020;343;8;17;26;27;31;11
29/08/2020;344;10;18;21;24;43;16
2/09/2020;345;3;19;20;21;28;13
5/09/2020;346;2;10;27;30;31;10
9/09/2020;347;7;11;16;30;35;3
12/09/2020;348;10;11;37;40;41;9
16/09/2020;349;2;19;22;25;37;15
19/09/2020;350;6;14;21;28;35;2
23/09/2020;351;10;20;21;34;36;3
26/09/2020;352;1;5;18;38;41;10
30/09/2020;353;1;9;13;16;30;5
3/10/2020;354;9;17;28;35;38;1
7/10/2020;355;13;22;27;40;41;5
10/10/2020;356;1;2;15;36;39;4
14/10/2020;357;5;8;11;16;32;13
17/10/2020;358;2;21;27;36;40;15
21/10/2020;359;1;3;26;33;34;10
24/10/2020;360;19;20;28;40;42;13
28/10/2020;361;9;19;20;36;37;12
31/10/2020;362;1;2;5;16;23;11
4/11/2020;363;22;26;29;30;39;7
7/11/2020;364;22;30;32;40;42;12
11/11/2020;365;3;5;11;25;29;6
14/11/2020;366;12;19;20;33;37;14
18/11/2020;367;17;20;26;35;40;13
21/11/2020;368;6;18;34;40;43;16
25/11/2020;369;2;21;22;30;34;7
28/11/2020;370;7;15;23;30;32;15
2/12/2020;371;7;19;27;31;36;12
5/12/2020;372;5;13;19;21;25;13
9/12/2020;373;5;10;21;28;42;16
12/12/2020;374;1;3;12;15;23;9
16/12/2020;375;9;24;25;27;40;6
19/12/2020;376;1;8;14;28;34;13
23/12/2020;377;5;12;23;28;35;14
26/12/2020;378;12;19;24;37;42;3
30/12/2020;379;5;19;24;27;29;4
2/01/2021;380;16;21;24;26;33;8
6/01/2021;381;6;29;37;39;43;13
9/01/2021;382;8;28;33;41;43;4
13/01/2021;383;1;14;36;37;40;8
16/01/2021;384;7;14;18;27;28;4
20/01/2021;385;17;24;26;28;40;16
23/01/2021;386;7;15;22;25;32;9
27/01/2021;387;14;19;21;22;23;2
30/01/2021;388;1;10;11;23;33;10
3/02/2021;389;6;13;17;33;38;12
6/02/2021;390;7;15;23;29;35;8
10/02/2021;391;4;15;31;36;40;6
13/02/2021;392;3;4;5;7;21;16
17/02/2021;393;11;21;22;38;42;4
20/02/2021;394;4;6;17;24;25;14
24/02/2021;395;5;7;8;12;25;1
27/02/2021;396;6;17;22;30;42;5
3/03/2021;397;6;8;15;32;33;13
6/03/2021;398;1;13;16;19;20;2
10/03/2021;399;1;4;21;27;33;3
13/03/2021;400;4;6;27;35;39;2
17/03/2021;401;14;28;33;34;35;15
20/03/2021;402;10;16;23;31;43;12
24/03/2021;403;2;20;32;37;43;13
27/03/2021;404;13;20;25;30;35;4
31/03/2021;405;5;7;11;17;22;3
3/04/2021;406;2;23;30;33;40;16
7/04/2021;407;4;31;37;41;42;5
10/04/2021;408;17;18;36;37;42;2
14/04/2021;409;27;31;32;42;43;1
17/04/2021;410;5;7;11;16;29;5
21/04/2021;411;3;12;19;20;24;2
24/04/2021;412;6;10;25;31;36;16
28/04/2021;413;3;19;34;37;43;7
1/05/2021;414;22;23;27;28;30;3
5/05/2021;415;2;5;10;23;34;7
8/05/2021;416;4;8;9;28;37;11
12/05/2021;417;4;23;28;29;31;16
15/05/2021;418;3;5;25;30;42;8
19/05/2021;419;9;12;16;21;30;1
22/05/2021;420;8;29;32;34;42;5
26/05/2021;421;3;9;12;34;35;13
29/05/2021;422;8;12;18;40;43;4
2/06/2021;423;1;15;22;36;37;13
5/06/2021;424;1;4;5;16;30;7
9/06/2021;425;7;14;20;34;41;4
12/06/2021;426;9;15;25;27;33;13
16/06/2021;427;7;8;21;30;42;2
19/06/2021;428;1;5;8;14;40;8
23/06/2021;429;6;19;20;37;38;10
26/06/2021;430;6;21;22;34;36;10
30/06/2021;431;26;29;39;42;43;4
3/07/2021;432;21;22;23;33;41;8
7/07/2021;433;5;9;16;29;42;11
10/07/2021;434;8;15;30;35;36;3
14/07/2021;435;7;8;18;34;42;8
17/07/2021;436;14;18;20;32;33;4
21/07/2021;437;7;9;15;16;26;11
24/07/2021;438;21;22;29;30;38;11
28/07/2021;439;6;22;28;32;36;2
31/07/2021;440;1;27;28;34;37;11
4/08/2021;441;6;10;15;33;42;16
7/08/2021;442;14;18;20;39;41;5
11/08/2021;443;2;9;24;26;42;5
14/08/2021;444;10;14;32;35;42;13
18/08/2021;445;8;12;15;31;38;14
21/08/2021;446;12;14;18;37;40;2
25/08/2021;447;7;18;20;22;34;11
28/08/2021;448;8;18;21;30;43;5
1/09/2021;449;1;7;9;31;40;13
4/09/2021;450;22;30;31;34;41;16
8/09/2021;451;8;14;25;31;34;6
