Secuencia;Balota1;Balota2;Balota3;Balota4;Balota5;Super Balota
338;20;23;35;36;41;14
339;21;22;23;33;41;8
340;21;30;35;36;41;2
341;24;26;35;36;41;9
342;1;2;22;29;42;16
343;1;4;14;21;42;16
344;1;4;18;21;42;2
345;1;5;9;29;42;8
346;1;15;19;21;42;8
347;2;5;9;11;42;9
348;2;5;9;34;42;13
349;2;9;17;27;42;11
350;2;9;24;26;42;5
351;2;13;14;26;42;8
352;3;5;25;30;42;8
353;3;10;32;40;42;15
354;3;17;25;39;42;4
355;4;12;15;33;42;3
356;4;17;27;28;42;4
357;4;31;37;41;42;5
358;5;6;9;39;42;16
359;5;9;16;29;42;11
360;5;10;21;28;42;16
361;5;13;14;35;42;11
362;6;9;15;37;42;16
363;6;10;15;33;42;16
364;6;14;25;29;42;13
365;6;14;32;34;42;10
366;6;15;19;27;42;16
367;6;17;22;30;42;5
368;6;27;32;40;42;1
369;6;29;34;41;42;16
370;7;8;18;34;42;8
371;7;8;21;30;42;2
372;8;14;20;22;42;7
373;8;15;28;38;42;7
374;8;29;32;34;42;5
375;10;13;22;26;42;5
376;10;14;29;30;42;2
377;10;14;32;35;42;13
378;10;17;24;37;42;6
379;11;21;22;38;42;4
380;11;23;33;36;42;4
381;12;13;25;31;42;16
382;12;19;24;37;42;3
383;13;29;30;40;42;10
384;15;27;28;41;42;4
385;16;18;26;37;42;2
386;17;18;33;41;42;8
387;17;18;36;37;42;2
388;17;26;28;29;42;11
389;19;20;28;40;42;13
390;19;26;33;34;42;8
391;22;24;28;34;42;8
392;22;30;32;40;42;12
393;1;2;20;31;43;8
394;1;4;21;30;43;15
395;1;7;12;26;43;14
396;1;7;14;35;43;12
397;1;10;23;38;43;7
398;1;13;32;37;43;10
399;1;14;18;22;43;6
400;1;20;36;39;43;10
401;2;6;16;23;43;1
402;2;11;18;23;43;14
403;2;13;25;36;43;15
404;2;20;32;37;43;13
405;3;4;31;34;43;14
406;3;18;34;42;43;4
407;3;19;34;37;43;7
408;4;9;20;35;43;5
409;4;17;36;37;43;11
410;5;8;12;17;43;9
411;5;12;25;26;43;7
412;5;13;22;34;43;2
413;5;23;24;29;43;2
414;5;33;34;41;43;7
415;6;17;24;39;43;16
416;6;18;34;40;43;16
417;6;20;25;27;43;4
418;6;29;37;39;43;13
419;6;29;37;39;43;13
420;7;8;18;25;43;6
421;7;10;24;31;43;5
422;7;11;23;41;43;11
423;7;20;36;42;43;7
424;8;12;18;40;43;4
425;8;18;21;30;43;5
426;8;28;33;41;43;4
427;9;12;31;33;43;11
428;9;14;28;33;43;1
429;10;16;23;31;43;12
